"","blue","green","nir","pixelCount","red","sat","swir1","swir2","date","chl_a","clouds","landsat_id","pwater","COMID","lagoslakeid","lake_lat_decdeg","lake_lon_decdeg","lake_elevation_m","ws_zoneid","hu12_zoneid","Tmean8110Cat","ClayCat","SandCat","OmCat","PermCat","RckdepCat","BFICat","CatAreaSqKm","PctAg2006Slp10Cat","NPDESDensCat","HydrlCondCat","PctImp2006Cat","PctUrbLo2006Cat","PctUrbMd2006Cat","PctUrbHi2006Cat","PctDecid2006Cat","PctConif2006Cat","PctMxFst2006Cat","PctCrop2006Cat","PctWdWet2006Cat","PctHbWet2006Cat","KffactCat","NO3_2008Cat","RunoffCat","WtDepCat","WetIndexCat","geometry","daily_temp","weatherID","number","wind","site_id","mean_temp_14_day","mean_temp_7_day"
"11",640,818,628,92,710,7,531,422,2015-05-12,7.1,11,"LE07_L1TP_032032_20150512_20160904_01_T1",97,3559986,360517,40.42243,-103.36175,1246.7,360517,"hu12_63633",10,7,77,0,28,152,54.10533206,231,0.010130331,0,121.7603969,4,0,0,0,0,0,0,3,0,1,0.1,4,6,183,915,"c(-103.34523, 40.437003)",12.625,"nldas_x173_y123",16567,4.895507813,"126891781",14.625,14.431640625
"12",472,768,360,92,501,8,85,54,2017-08-29,143.26,0,"LC08_L1TP_032032_20170829_20170914_01_T1",97,3559986,360517,40.42243,-103.36175,1246.7,360517,"hu12_63633",10,7,77,0,28,152,54.10533206,231,0.010130331,0,121.7603969,4,0,0,0,0,0,0,3,0,1,0.1,4,6,183,915,"c(-103.34523, 40.437003)",24.21875,"nldas_x173_y123",17407,2.739257813,"126891781",24.2614583333333,24.322265625
"13",208,295,178,49,187,7,72,62,2015-07-15,56.63,20,"LE07_L1TP_032032_20150715_20160902_01_T1",97,3554474,360794,40.77126,-103.29965,1243,360794,"hu12_63648",10,22,40,1,6,145,75.74760511,43,0,0,16.93302221,6,0,0,0,0,0,0,16,0,5,0.2,4,6,183,1110,"c(-103.26722, 40.785288)",24.1015625,"nldas_x173_y126",16631,-1.654296875,"126891289",23.7046875,22.9814453125
"14",392,476,276,75,359,8,101,66,2017-08-29,152.03,0,"LC08_L1TP_032032_20170829_20170914_01_T1",97,3554474,360794,40.77126,-103.29965,1243,360794,"hu12_63648",10,22,40,1,6,145,75.74760511,43,0,0,16.93302221,6,0,0,0,0,0,0,16,0,5,0.2,4,6,183,1110,"c(-103.26722, 40.785288)",24.234375,"nldas_x173_y126",17407,3.05078125,"126891289",24.1911458333333,24.2890625
"15",318,391,205,23,275,7,125,87,2013-06-23,49.1,0,"LE07_L1TP_032032_20130623_20160907_01_T1",97,3554474,360794,40.77126,-103.29965,1243,360794,"hu12_63648",10,22,40,1,6,145,75.74760511,43,0,0,16.93302221,6,0,0,0,0,0,0,16,0,5,0.2,4,6,183,1110,"c(-103.26722, 40.785288)",24.1328125,"nldas_x173_y126",15879,-0.23828125,"126891289",21.9395833333333,22.4765625
"16",405,594,271,68,412,8,89,55,2017-08-29,24.15,0,"LC08_L1TP_032032_20170829_20170914_01_T1",93,3556390,360518,40.93137,-102.65055,1129,360518,"hu12_63670",10,17,36,1,10,147,79,15,0.005918911,0,0.222597521,6,0,0,0,0,0,0,7,2,7,0.2,4,6,183,1268,"c(-102.648545, 40.92303833)",24.5390625,"nldas_x178_y127",17407,3.045898438,"126891025",24.4692708333333,24.5546875
"17",285,541,107,57,356.5376344,8,42.24850299,33,2016-09-27,65.42,0,"LC08_L1TP_032032_20160927_20170220_01_T1",93,3556390,360518,40.93137,-102.65055,1129,360518,"hu12_63670",10,17,36,1,10,147,79,15,0.005918911,0,0.222597521,6,0,0,0,0,0,0,7,2,7,0.2,4,6,183,1268,"c(-102.648545, 40.92303833)",18.8828125,"nldas_x178_y127",17071,-0.956054688,"126891025",18.8338541666667,19.15234375
"18",365,489,601,41,383,7,218,151,2016-08-02,2.2,7,"LE07_L1TP_032033_20160802_20160831_01_T1",82,1594383,376130,38.22422,-102.63543,1157.9,376130,"hu12_20412",12,25,21,1,4,152,19.5729128,5,0,0,0.006021,0,0,0,0,0,0,0,60,5,18,0.3,3,5,180,858,"c(-102.6338783, 38.22016667)",26.609375,"nldas_x178_y105",17015,-0.29296875,"72569217",26.5307291666667,26.193359375
"19",450,758,278,136,575,5,70,24,1993-08-11,23,0,"LT05_L1TP_032033_19930811_20160927_01_T1",99,1593551,376138,38.27353,-103.2277,1258.9,376138,"hu12_20360",12,24,32,0,4,144,33.32766235,153,0,0,51.14386432,0,0,0,0,0,0,0,3,1,8,0.3,4,5,179,819,"c(-103.2383333, 38.2683333)",25.0625,"nldas_x174_y106",8623,-0.189453125,"72575703",24.4447916666667,23.7802734375
"20",450,758,278,136,575,5,70,24,1993-08-11,26.59999,0,"LT05_L1TP_032033_19930811_20160927_01_T1",99,1593551,376138,38.27353,-103.2277,1258.9,376138,"hu12_20360",12,24,32,0,4,144,33.32766235,153,0,0,51.14386432,0,0,0,0,0,0,0,3,1,8,0.3,4,5,179,819,"c(-103.2383333, 38.2683333)",25.0625,"nldas_x174_y106",8623,-0.189453125,"72575703",24.4447916666667,23.7802734375
"21",385,600,313,136,417,5,172,96,1993-08-11,16.39999,0,"LT05_L1TP_032033_19930811_20160927_01_T1",97,1594371,376372,38.30516,-102.74958,1182,376372,"hu12_20411",12,24,29,0,4,152,20.66539159,23,0,0,0.003363098,0,0,0,0,0,0,0,27,0,12,0.3,3,5,183,876,"c(-102.752, 38.3088333)",26.4453125,"nldas_x177_y106",8623,0.240234375,"72575683",25.3973958333333,24.61328125
"22",520,731,946,50,693,8,786,644,2015-07-07,3.21,59.39,"LC08_L1TP_032033_20150707_20170226_01_T1",68,1594337,376471,38.33768,-102.68987,1196,376471,"hu12_20412",11,19,19,0,3,115,18.29642333,49,0.009170946,0,33.25061154,0,0,0,0,0,0,0,18,0,25,0.2,3,5,138,963,"c(-102.69491833, 38.33656667)",23.90625,"nldas_x178_y106",16623,0.342773438,"72575631",25.5640625,25.52734375
"23",669,981,204,61,609,7,70,74,2016-09-19,1,0,"LE07_L1TP_032034_20160919_20161015_01_T1",96,936750,376136,37.13744,-104.57338,1900,376136,"hu12_20460",10,28,30,0,6,126,35.46958975,21,0,0,0.103351461,7,0,0,0,0,41,0,0,1,1,0.3,4,5,174,943,"c(-104.552303, 37.141018)",19.6171875,"nldas_x163_y97",17063,0.106445313,"131295184",20.034375,19.5791015625
"24",428,590,127,110,348,7,71,49,2015-09-17,1.9,0,"LE07_L1TP_032034_20150917_20160902_01_T1",98,936750,376136,37.13744,-104.57338,1900,376136,"hu12_20460",10,28,30,0,6,126,35.46958975,21,0,0,0.103351461,7,0,0,0,0,41,0,0,1,1,0.3,4,5,174,943,"c(-104.55412, 37.14162)",19.3203125,"nldas_x163_y97",16695,2.1875,"131295184",20.9166666666667,20.5078125
"25",287,467,123,114,356,7,47,24,2015-09-17,12.2,0,"LE07_L1TP_032034_20150917_20160902_01_T1",97,1593653,376470,38.06631,-102.98646,1174.4,376470,"hu12_20382",12,5,81,0,29,152,24,4,0,0,99.82347146,0,0,0,0,0,0,0,0,0,0,0.1,3,5,183,636,"c(-102.98724, 38.06644)",23.7578125,"nldas_x175_y104",16695,2.0078125,"544cba07-5d51-4ac9-b924-000729720150",24.3546875,24.0771484375
"26",239,449,114,15,278,8,152,137,2015-05-04,19.45,63.07,"LC08_L1TP_032034_20150504_20170227_01_T1",97,1594463,376665,38.06931,-102.9318,1146.3,376665,"hu12_20394",12,19,46,0,16,152,20,0,0,0,5.461536884,0,1,1,0,0,0,0,0,0,2,0.2,3,5,102,615,"c(-102.938003, 38.067675)",19.3125,"nldas_x176_y104",16559,-1.692382813,"72552919",16.9375,17.6845703125
"27",452,761,351,138,639,5,69,59,1993-08-11,47.69999,0,"LT05_L1TP_032034_19930811_20160928_01_T1",98,975120,376564,38.26418,-103.70927,1331.4,376564,"hu12_13918",12,45,14,0,1,105,44.19931832,12,0,0,5e-05,6,1,0,0,0,0,0,0,0,2,0.2,3,39,183,1292,"c(-103.71, 38.2573333)",25.6796875,"nldas_x170_y106",8623,-0.084960938,"131180402",24.7333333333333,24.4765625
"28",533,734,438,82,608,7,145,121,2007-06-14,62,17,"LE07_L1TP_033032_20070614_20160921_01_T1",98,187811,360369,39.7483,-105.04936,1618.6,360369,"hu12_63284",11,36,25,1,3,149,53.96347826,10,0,0,0.268116975,7,51,17,3,0,0,0,1,0,0,0.3,3,107,177,548,"c(-105.04476841, 39.7485802855)",20.953125,"nldas_x159_y117",13678,-0.21484375,"117848263",19.1145833333333,19.546875
"29",408,557,309,23,349,7,150,123,2007-06-14,7.246,17,"LE07_L1TP_033032_20070614_20160921_01_T1",68,2884704,361406,39.80668,-105.03833,1593.4,361406,"hu12_63381",11,25,40,1,14,150,53.10982659,0,0,0,1.576225737,6,33,16,1,0,0,0,0,1,1,0.3,3,126,138,567,"c(-105.036031089, 39.8068455368)",21.484375,"nldas_x159_y118",13678,-0.120117188,"116936261",19.2671875,19.7724609375
"30",175,213,51,64,106,8,54,43,2016-10-20,1.09,0.04,"LC08_L1TP_033032_20161020_20170219_01_T1",96,2884674,359826,39.81291,-105.21322,1778.2,359826,"hu12_63376",10,34,26,1,3,139,62.49259259,0,0,0,0.007114723,5,18,9,0,0,0,0,0,0,0,0.3,3,126,179,403,"c(-105.21379667, 39.82196)",NA,NA,NA,NA,NA,NA,NA
"31",406,586,164,139,275,5,42,22,1989-08-23,6.5,2,"LT05_L1TP_033032_19890823_20161002_01_T1",98,228235,359515,39.86385,-105.12418,1678.6,359515,"hu12_63306",10,35,26,1,3,146,59.63228725,16,0.050256868,0,0.141924524,7,4,1,0,0,0,0,0,0,1,0.2,3,43,178,951,"c(-105.1163738, 39.8566528)",22.7421875,"nldas_x159_y118",7174,2.725585938,"120654203",22.9104166666667,22.953125
"32",390,486,177,139,224,5,57,30,1989-10-10,3.2,0,"LT05_L1TP_033032_19891010_20161002_01_T1",98,228235,359515,39.86385,-105.12418,1678.6,359515,"hu12_63306",10,35,26,1,3,146,59.63228725,16,0.050256868,0,0.141924524,7,4,1,0,0,0,0,0,0,1,0.2,3,43,178,951,"c(-105.1163738, 39.8566528)",15.6484375,"nldas_x159_y118",7222,1.495117188,"120654203",17.3067708333333,16.0078125
"33",554,773,241,138,408,5,43,23,1990-04-20,3.6,8,"LT05_L1TP_033032_19900420_20161002_01_T1",98,228235,359515,39.86385,-105.12418,1678.6,359515,"hu12_63306",10,35,26,1,3,146,59.63228725,16,0.050256868,0,0.141924524,7,4,1,0,0,0,0,0,0,1,0.2,3,43,178,951,"c(-105.1235963, 39.863875)",10.84375,"nldas_x159_y118",7414,0.67578125,"120654203",9.8078125,10.5244140625
"34",525,663,158,138,328,5,29,36,1990-10-29,1.9,0,"LT05_L1TP_033032_19901029_20160930_01_T1",98,228235,359515,39.86385,-105.12418,1678.6,359515,"hu12_63306",10,35,26,1,3,146,59.63228725,16,0.050256868,0,0.141924524,7,4,1,0,0,0,0,0,0,1,0.2,3,43,178,951,"c(-105.1235963, 39.863875)",12.8125,"nldas_x159_y118",7606,0.306640625,"120654203",13.1145833333333,12.9052734375
"35",668,989,280,30,601,5,95,96,1990-04-20,2.4,8,"LT05_L1TP_033032_19900420_20161002_01_T1",98,228235,359515,39.86385,-105.12418,1678.6,359515,"hu12_63306",10,35,26,1,3,146,59.63228725,16,0.050256868,0,0.141924524,7,4,1,0,0,0,0,0,0,1,0.2,3,43,178,951,"c(-105.1094291, 39.866375)",10.84375,"nldas_x159_y118",7414,0.67578125,"120654203",9.8078125,10.5244140625
"36",523,663,158,30,328,5,104,90,1990-10-29,1.9,0,"LT05_L1TP_033032_19901029_20160930_01_T1",98,228235,359515,39.86385,-105.12418,1678.6,359515,"hu12_63306",10,35,26,1,3,146,59.63228725,16,0.050256868,0,0.141924524,7,4,1,0,0,0,0,0,0,1,0.2,3,43,178,951,"c(-105.1094291, 39.866375)",12.8125,"nldas_x159_y118",7606,0.306640625,"120654203",13.1145833333333,12.9052734375
"37",466,468,222,138,289,7,106,69,2011-03-21,4.3,56,"LE07_L1TP_033032_20110321_20160914_01_T1",98,228235,359515,39.86385,-105.12418,1678.6,359515,"hu12_63306",10,35,26,1,3,146,59.63228725,16,0.050256868,0,0.141924524,7,4,1,0,0,0,0,0,0,1,0.2,3,43,178,951,"c(-105.11565, 39.86727)",8.6484375,"nldas_x159_y118",15054,5.909179688,"120654203",6.69322916666667,7.7333984375
"38",348,517,55,139,260,8,30,23,2013-09-26,26.05,0.01,"LC08_L1TP_033032_20130926_20170308_01_T1",98,228235,359515,39.86385,-105.12418,1678.6,359515,"hu12_63306",10,35,26,1,3,146,59.63228725,16,0.050256868,0,0.141924524,7,4,1,0,0,0,0,0,0,1,0.2,3,43,178,951,"c(-105.115972, 39.869445)",18.9140625,"nldas_x159_y118",15974,2.598632813,"120654203",19.8557291666667,19.498046875
"39",377,411,179,139,242,8,82,60,2013-08-09,2.19,28.69,"LC08_L1TP_033032_20130809_20170309_01_T1",98,228235,359515,39.86385,-105.12418,1678.6,359515,"hu12_63306",10,35,26,1,3,146,59.63228725,16,0.050256868,0,0.141924524,7,4,1,0,0,0,0,0,0,1,0.2,3,43,178,951,"c(-105.115972, 39.869445)",22.1328125,"nldas_x159_y118",15926,2.640625,"120654203",22.5671875,22.6005859375
"40",466,468,180,24,289,7,106,69,2011-03-21,1.2,56,"LE07_L1TP_033032_20110321_20160914_01_T1",98,228235,359515,39.86385,-105.12418,1678.6,359515,"hu12_63306",10,35,26,1,3,146,59.63228725,16,0.050256868,0,0.141924524,7,4,1,0,0,0,0,0,0,1,0.2,3,43,178,951,"c(-105.11624, 39.87086)",8.6484375,"nldas_x159_y118",15054,5.909179688,"120654203",6.69322916666667,7.7333984375
"41",435,540,243,66,386,5,121,97,2003-04-08,14.1,8,"LT05_L1TP_033032_20030408_20160915_01_T1",80,228919,359516,39.94324,-104.76443,1552.9,359516,"hu12_63310",10,14,48,0,10,118,49.00263646,37,0.007323504,0,102.1837563,1,1,1,1,0,0,0,50,1,6,0.2,2,21,157,620,"c(-104.7777783, 39.9377783)",7.0390625,"nldas_x161_y119",12150,0.598632813,"120653957",6.30052083333333,7.431640625
"42",305,389,167,66,284,5,85,29,2004-03-09,7.6,1,"LT05_L1TP_033032_20040309_20160914_01_T1",80,228919,359516,39.94324,-104.76443,1552.9,359516,"hu12_63310",10,14,48,0,10,118,49.00263646,37,0.007323504,0,102.1837563,1,1,1,1,0,0,0,50,1,6,0.2,2,21,157,620,"c(-104.7777783, 39.9377783)",6.3203125,"nldas_x161_y119",12486,1.740234375,"120653957",3.91822916666667,3.5458984375
"43",276,384,233,66,304,5,56,52,2003-06-11,10.6,4,"LT05_L1TP_033032_20030611_20160915_01_T1",80,228919,359516,39.94324,-104.76443,1552.9,359516,"hu12_63310",10,14,48,0,10,118,49.00263646,37,0.007323504,0,102.1837563,1,1,1,1,0,0,0,50,1,6,0.2,2,21,157,620,"c(-104.7777783, 39.9377783)",21.3359375,"nldas_x161_y119",12214,0.67578125,"120653957",20.9145833333333,20.396484375
"44",310,277,151,65,238,7,88,46,2004-12-14,67.9,17,"LE07_L1TP_033032_20041214_20160925_01_T1",80,228919,359516,39.94324,-104.76443,1552.9,359516,"hu12_63310",10,14,48,0,10,118,49.00263646,37,0.007323504,0,102.1837563,1,1,1,1,0,0,0,50,1,6,0.2,2,21,157,620,"c(-104.7777783, 39.9377783)",2.9609375,"nldas_x161_y119",12766,1.721679688,"120653957",2.44583333333333,2.578125
"45",354,428,281,66,305,5,94,83,2003-05-26,8.28,11,"LT05_L1TP_033032_20030526_20160915_01_T1",80,228919,359516,39.94324,-104.76443,1552.9,359516,"hu12_63310",10,14,48,0,10,118,49.00263646,37,0.007323504,0,102.1837563,1,1,1,1,0,0,0,50,1,6,0.2,2,21,157,620,"c(-104.7777783, 39.9377783)",19.65625,"nldas_x161_y119",12198,1.032226563,"120653957",16.8213541666667,17.705078125
"46",510,695,362,66,568,7,89,59,2003-07-21,17.1,2,"LE07_L1TP_033032_20030721_20160927_01_T1",80,228919,359516,39.94324,-104.76443,1552.9,359516,"hu12_63310",10,14,48,0,10,118,49.00263646,37,0.007323504,0,102.1837563,1,1,1,1,0,0,0,50,1,6,0.2,2,21,157,620,"c(-104.7777783, 39.9377783)",25.6015625,"nldas_x161_y119",12254,-1.028320313,"120653957",24.7713541666667,25.271484375
"47",417,500,206,140,386,5,70,61,2003-04-08,1,8,"LT05_L1TP_033032_20030408_20160915_01_T1",96,228919,359516,39.94324,-104.76443,1552.9,359516,"hu12_63310",10,14,48,0,10,118,49.00263646,37,0.007323504,0,102.1837563,1,1,1,1,0,0,0,50,1,6,0.2,2,21,157,620,"c(-104.7652783, 39.945)",7.0390625,"nldas_x161_y119",12150,0.598632813,"120653957",6.30052083333333,7.431640625
"48",387,574.66148,216.2349765,140,414.0317601,7,75,52,2003-09-23,44.7,0,"LE07_L1TP_033032_20030923_20160928_01_T1",96,228919,359516,39.94324,-104.76443,1552.9,359516,"hu12_63310",10,14,48,0,10,118,49.00263646,37,0.007323504,0,102.1837563,1,1,1,1,0,0,0,50,1,6,0.2,2,21,157,620,"c(-104.7652783, 39.945)",18.9140625,"nldas_x161_y119",12318,-0.056640625,"120653957",19.5973958333333,18.7880859375
"49",689.0599666,857.9933685,785,140,761,7,184,128,2002-08-19,16.6,1,"LE07_L1TP_033032_20020819_20160928_01_T1",96,228919,359516,39.94324,-104.76443,1552.9,359516,"hu12_63310",10,14,48,0,10,118,49.00263646,37,0.007323504,0,102.1837563,1,1,1,1,0,0,0,50,1,6,0.2,2,21,157,620,"c(-104.7652783, 39.945)",23.1015625,"nldas_x161_y119",11918,2.129882813,"120653957",23.4828125,23.177734375
"50",280,387,120,140,222,7,34,37,2003-11-10,13.6,1,"LE07_L1TP_033032_20031110_20160927_01_T1",96,228919,359516,39.94324,-104.76443,1552.9,359516,"hu12_63310",10,14,48,0,10,118,49.00263646,37,0.007323504,0,102.1837563,1,1,1,1,0,0,0,50,1,6,0.2,2,21,157,620,"c(-104.7652783, 39.945)",8.9140625,"nldas_x161_y119",12366,0.80078125,"120653957",11.3135416666667,10.0068359375
"51",299,434,241,37,338,7,97,63,2016-09-10,25.65,0,"LE07_L1TP_033032_20160910_20161006_01_T1",91,228919,359516,39.94324,-104.76443,1552.9,359516,"hu12_63310",10,14,48,0,10,118,49.00263646,37,0.007323504,0,102.1837563,1,1,1,1,0,0,0,50,1,6,0.2,2,21,157,620,"c(-104.75559167, 39.95841)",21.0546875,"nldas_x161_y119",17054,2.046875,"120653957",22.0208333333333,22.208984375
"52",502,773,1008.277174,96,543,7,281,122,2007-06-30,318.24,2,"LE07_L1TP_033032_20070630_20160924_01_T1",93,167246033,359752,39.99718,-104.57974,1544.5,359752,"hu12_63330",10,22,32,0,5,141,49.90906905,15,0.01802993,0,203.2999241,8,0,0,0,0,0,0,53,1,4,0.3,2,21,183,1054,"c(-104.57933785, 39.9937405921)",24.359375,"nldas_x163_y119",13694,2.001953125,"120653751",23.4869791666667,23.810546875
"53",644,829,298,69,619,7,134,94,2004-12-14,1.4,17,"LE07_L1TP_033032_20041214_20160925_01_T1",94,225049,361498,40.01608,-104.51204,1527.9,361498,"hu12_63339",10,25,17,1,3,151,50,12,0.082169269,0,152.661379,6,0,0,0,0,0,0,76,1,3,0.3,3,21,183,978,"c(-104.51, 40.0177777)",2.75,"nldas_x163_y120",12766,0.954101563,"120653683",2.31666666666667,2.5771484375
"54",522,665,461,92,467,5,238,184,1998-05-12,1.1,27,"LT05_L1TP_033032_19980512_20160923_01_T1",95,2888324,360575,40.09956,-105.26354,1634.7,360575,"hu12_63411",10,32,29,0,3,124,63.70234009,3,0,0,10.74617189,5,1,0,0,0,0,0,0,1,0,0.3,3,91,181,863,"c(-105.2641561, 40.0960966)",13.3984375,"nldas_x157_y120",10358,2.118164063,"128058291",11.3203125,12.5439453125
"55",540,629,425,81,467,5,214,116,1998-05-12,1.5,27,"LT05_L1TP_033032_19980512_20160923_01_T1",95,2888324,360575,40.09956,-105.26354,1634.7,360575,"hu12_63411",10,32,29,0,3,124,63.70234009,3,0,0,10.74617189,5,1,0,0,0,0,0,0,1,0,0.3,3,91,181,863,"c(-105.2627672, 40.0999855)",13.3984375,"nldas_x157_y120",10358,2.118164063,"128058291",11.3203125,12.5439453125
"56",156,295,79,59,180,8,64,52,2013-09-26,8.29,0.01,"LC08_L1TP_033032_20130926_20170308_01_T1",96,2888284,359835,40.13383,-105.18788,1553.4,359835,"hu12_63409",10,28,27,0,5,89,62.12732657,2,0,0,6.6e-05,0,1,0,0,0,0,0,1,0,6,0.3,3,91,183,653,"c(-105.184448, 40.133363)",18.375,"nldas_x158_y121",15974,2.03515625,"128058146",19.4609375,19.244140625
"57",273,444,153,35,272,8,72,53,2014-08-12,20.13,0.25,"LC08_L1TP_033032_20140812_20170304_01_T1",96,2888284,359835,40.13383,-105.18788,1553.4,359835,"hu12_63409",10,28,27,0,5,89,62.12732657,2,0,0,6.6e-05,0,1,0,0,0,0,0,1,0,6,0.3,3,91,183,653,"c(-105.186047, 40.136845)",22.609375,"nldas_x158_y121",16294,0.649414063,"128058146",22.6640625,22.974609375
"58",299,439,127,139,231,8,38,21,2014-08-12,7.1,0.25,"LC08_L1TP_033032_20140812_20170304_01_T1",98,2888202,359753,40.18222,-105.03905,1511,359753,"hu12_63413",10,22,15,1,3,129,59.0079611,17,0,0,51.54127675,1,3,0,0,0,0,0,48,1,3,0.3,3,91,161,768,"c(-105.03602, 40.180943)",23.6328125,"nldas_x159_y121",16294,1.0625,"128057905",22.8354166666667,23.1962890625
"59",156,173,108,1,67,7,92,23,2015-09-08,1.58,0,"LE07_L1TP_033032_20150908_20160902_01_T1",91,2888150,360568,40.21658,-105.37274,1949.6,360568,"hu12_63388",8,15,51,1,13,74,67.09867835,12,0,0,0.000215,8,0,0,0,0,80,0,0,0,0,0.3,3,91,179,654,"c(-105.36975833, 40.22001333)",16.828125,"nldas_x156_y121",16686,-0.8125,"128057638",17.5005208333333,17.37109375
"60",312,536,178,135,338,7,50,26,2003-09-23,140.2,0,"LE07_L1TP_033032_20030923_20160928_01_T1",93,224573,361060,40.22868,-104.63896,1463.9,361060,"hu12_63313",10,7,74,0,26,146,55.34196863,149,0.010854424,0,142.4240558,0,1,0,0,0,0,0,37,0,1,0.1,2,21,178,671,"c(-104.6377783, 40.2272217)",18.875,"nldas_x162_y121",12318,-0.142578125,"120652823",19.5541666666667,18.7744140625
